#0,1,2,3,4,5,6,7,8
#DATE,KOPEN,KCLOSE,UOPEN,UCLOSE,DOPEN,DCLOSE,TOPEN,TCLOSE
171121,0.33425,0.3342,0.2582,0.2596,0.822,0.821,0.336,0.3359
171120,0.33505,0.3328,0.2576,0.2582,0.8235,0.827,0.33425,0.3342
171117,0.33625,0.3343,0.2584,0.2576,0.825,0.824,0.33505,0.3328
171116,0.3334,0.33465,0.2564,0.2585,0.844,0.8315,0.33625,0.3343
171115,0.334,0.3325,0.2577,0.2565,0.851,0.8465,0.3334,0.33465
171114,0.3348,0.33465,0.258,0.2578,0.8535,0.854,0.334,0.3325
171113,0.3363,0.3349,0.258,0.2582,0.8545,0.8585,0.3348,0.33465
171110,0.33545,0.33625,0.2582,0.258,0.855,0.853,0.3363,0.3349
171109,0.33915,0.337,0.2591,0.2584,0.851,0.851,0.33545,0.33625
171108,0.3357,0.3386,0.2584,0.2591,0.8475,0.851,0.33915,0.337
